Range Hood,New Pricing,Proline Website,Wayfair,Amazon,Walmart,Home Depot,Sears,Houzz-Prohoods,Houzz-Proline,,
PLFI 520.24,,635.95,635.95,add to amazon,,,,635.95,,,- Pricing Error
PLFI 755.30,,849.95,849.95,,,,849.95,,,,- Changes Needed
PLFI 755.36,,999.95,999.95,,,,999.95,,,,- Pricing Update Completed
PLFI 755.42,,1199.95,1199.95,,,,,,,,
PLFI 755.48,,1299.95,1299.95,,,,1499.95,,,,
PLFI 755.54,,1549.95,1549.95,,,,,,,,
PLFI 755.60,,1599.95,1599.95,,,,1599.95,,,,
PLFI 520.30,,689.95,689.95,,,,689.95,689.95,,,
PLFI 520.36,,779.95,779.95,,,,779.95,779.95,,,
PLFI 520.42,,949.95,949.95,,,,,949.95,,,
PLFI 520.48,,1049.95,1049.95,,,,,1049.95,,,
PLFI 544.30,,699.95,699.95,,,,699.95,,,,
PLFI 544.36,,759.95,759.95,,,,759.95,,,,
PLFI 544.42,,829.95,829.95,,,,,,,,
PLFI 750.36,,999.95,999.95,,,,999.95,999.95,,,
PLFI 750.42,,1099.95,1099.95,,,,,1099.95,,,
PLFI 750.48,,1199.95,1199.95,,,,,1199.95,,,
PLFI 750.54,,1399.95,1399.95,,,,,1399.95,,,
PLFI 750.60,,1499.95,1499.95,,,,1499.95,1499.95,,,
PLFL 832.28,,649.95,649.95,,,,,649.95,,,
PLFL 832.34,,699.95,699.95,,,,,699.95,,,
PLFL 832.40,,869.95,869.95,,,,,869.95,,,
PLFL 832.46,,999.95,999.95,,,,999.95,999.95,,,
PLFL 832.52,,1139.95,1139.95,,,,1139.95,1139.95,,,
PLFL 832.58,,1249.95,1249.95,,,,1249.95,1249.95,,,
PLFW 520.24,359.95,369.95,369.95,340.35,,,,,341.95,,
PLFW 129E.30,599.95,629.95,629.95,581.95,581.95,,,629.95,,,
PLFW 129E.36,619.95,659.95,659.95,609.95,609.95,,659.95,659.95,,,
PLFW 129J.30,599.95,629.95,629.95,581.95,,,629.95,629.95,,,
PLFW 129J.36,619.95,659.95,659.95,609.95,,,659.95,659.95,,,
PLFW 520.30,439.95,449.95,449.95,413.95,,,449.95,,415.95,,
PLFW 520.36,479.95,499.95,499.95,459.95,,,499.95,,461.95,,
PLFW 520.42,829.95,849.95,849.95,781.95,,,,,784.95,,
PLFW 520.48,929.95,949.95,949.95,873.95,,,,,876.95,,
PLFW 544.30,,439.95,add to wayfair,439.95,,,,,,,
PLFW 544.36,,469.95,add to wayfair,469.95,,,,,,,
PLFW 750.36,,789.95,789.95,add to amazon,,,789.95,789.95,729.95,,
PLFW 750.42,,829.95,829.95,add to amazon,,,,829.95,766.95,,
PLFW 750.48,959.95,999.95,999.95,919.95,,,,999.95,922.95,,
PLFW 750.54,,1299.95,1299.95,add to amazon,,,1299.95,1299.95,1199.95,,
PLFW 750.60,,1399.95,1399.95,add to amazon,,,,1399.95,1292.95,,
PLFW 755.30,,749.95,749.95,add to amazon,,,749.95,749.95,,,
PLFW 755.36,769.95,779.95,779.95,717.55,,,779.95,779.95,,,
PLFW 755.48,,989.95,989.95,add to amazon,,,989.95,989.95,,,
PLFW 755.60,,1389.95,1389.95,add to amazon,,,1389.95,1389.95,,,
PLFW 812.30,,,,,,,829.95,,,,
PLFW 812.36,,,,,,,849.95,,,,
PLFW 812.54,,,,,,,1399.95,,,,
PLFW 832.30,,779.95,779.95,,,,779.95,779.95,719.95,,
PLFW 832.36,,929.95,929.95,,,,929.95,929.95,832.36,,
PLFW 832.42,,999.95,999.95,,,,,999.95,922.95,,
PLFW 832.48,,1299.95,1299.95,,,,1299.95,1299.95,1199.95,,
PLFW 832.54,,1399.95,1399.95,,,,1399.95,1399.95,1292.95,,
PLFW 832.60,,1499.95,1499.95,,,,,1499.95,1384.95,,
PLJI 102.36,,1249.95,1349.95,,,,1349.95,,,,
PLJI 102.42,,1549.95,1649.95,1649.95,,,1649.95,,,,
PLJI 102.48,,1749.95,1849.95,1749.95,,,1849.95,,,,
PLJI 102.54,,1849.95,1999.95,add to amazon,,,1999.95,,,,
PLJI 102.60,,1949.95,2099.95,add to amazon,,,2099.95,,,,
PLJI 103.36,,1249.95,1349.95,1246.95,,,1349.95,,,,
PLJI 103.42,,1549.95,1649.95,1522.95,,,1649.95,,,,
PLJI 103.48,,1749.95,1849.95,1749.95,,,1849.95,,,,
PLJI 103.54,,1849.95,1999.95,1845.95,,,1999.95,,,,
PLJI 103.60,,1949.95,2099.95,1938.95,,,2099.95,,,,
PLJW 108.30,,699.95,749.95,692.95,,,749.95,749.95,,,
PLJW 108.30B (Blower Rotated),,749.95,749.95,,,,,,,,
PLJW 108.36,,899.95,899.95,830.95,,,839.95,899.95,,,
PLJW 108.36B (Blower Rotated),,949.95,899.95,,,,,,,,
PLJW 108.42,,989.95,989.95,923.95,,,879.95,989.95,,,
PLJW 108.42B (Blower Rotated),,1039.95,989.95,,,,,,,,
PLJW 108.48,,1099.95,1099.95,1015.95,,,1099.95,1099.95,,,
PLJW 108.48B (Blower Rotated),,1149.95,1099.95,,,,,,,,
PLJW 120.30,679.95,689.95,689.95,616.95,636.82,,689.95,689.95,,,
PLJW 120.36,699.95,709.95,709.95,625.95,655.95,,709.95,709.95,,,
PLJW 120.42,729.95,739.95,739.95,682.95,682.95,,739.95,739.95,,,
PLJW 120.48,759.95,769.95,769.95,710.95,708.95,,769.95,769.95,,,
PLJW 125.30,679.95,689.95,689.96,636.95,,,,,,,
PLJW 125.36,699.95,729.95,729.95,673.95,,,,,,,
PLJW 129.42,879.95,899.95,899.95,899.95,899.95,,,,,,
PLJW 130.30,629.95,649.95,649.95,599.95,599.95,,,,,,
PLJW 130.36,659.95,699.95,699.95,649.95,646.95,,,,,,
PLJW 130.42,999.95,1099.95,1099.95,1015.95,1015.95,,,,,,
PLJW 130.48,1199.95,1299.95,add to wayfair,1199.95,1199.95,,,,,,
PLJW 180.30,199.95,209.95,add to wayfair,199.99,199.95,,,,,,
PLJW 185.30,364.95,364.95,364.95,364.95,364.95,364.95,364.95,364.95,,,
PLJW 185.36,389.95,389.95,389.95,389.95,389.95,389.95,389.95,389.95,,,
PLJW 101.30,,799.95,799.95,738.95,,,799.95,,,,
PLJW 101.30B (Blower Rotated),,849.95,799.95,,,,,,,,
PLJW 101.36,,899.95,899.95,784.95,,,849.95,,,,
PLJW 101.36B (Blower Rotated),,949.95,899.95,,,,,,,,
PLJW 101.42,,989.95,989.95,830.95,,,,,,,
PLJW 101.42B (Blower Rotated),,1039.95,989.95,,,,,,,,
PLJW 101.48,,1224.95,1224.95,,,,,,,,
PLJW 101.48B (Blower Rotated),,1274.95,1224.95,,,,,,,,
PLJW 101.48-2,,1349.95,1349.95,add to amazon,,,,,,,
PLJW 101.48-2B (Blower Rotated),,1424.95,1349.95,,,,,,,,
PLJW 101.54,,1499.95,1499.95,1384.95,,,,,,,
PLJW 101.54B (Blower Rotated),,1574.95,1499.95,,,,,,,,
PLJW 101.60,,1699.95,1699.95,1569.95,,,,,,,
PLJW 101.60B (Blower Rotated),,1774.95,1699.95,,,,,,,,
PLJW 102.30,,799.95,799.95,738.95,,,,799.95,,,
PLJW 102.30B (Blower Rotated),,849.95,799.95,,,,,,,,
PLJW 102.36,,899.95,899.95,784.95,,,,899.95,,,
PLJW 102.36B (Blower Rotated),,949.95,899.95,,,,,,,,
PLJW 102.42,,989.95,989.95,830.95,,,,989.95,,,
PLJW 102.42B (Blower Rotated),,1039.95,989.95,,,,,,,,
PLJW 102.48,,1149.95,1149.95,1149.95,,,,1149.95,,,
PLJW 102.48B (Blower Rotated),,1199.95,1149.95,,,,,,,,
PLJW 104.36,,999.95,999.95,999.95,,,,,,,
PLJW 104.42,,1199.95,1199.95,1199.95,,,,,,,
PLJW 104.48,,1399.95,1399.95,1399.95,,,,,,,
PLJW 104.54,,1599.95,1599.95,1599.95,,,,,,,
PLJW 104.60,1699.95,1799.95,1699.95,1699.95,,,,,,,
PLJW 109.30,,799.95,799.95,738.95,738.95,,799.95,799.95,,,
PLJW 109.30B (Blower Rotated),,849.95,799.95,,,,,,,,
PLJW 109.36,,899.95,899.95,784.95,830.95,,849.95,899.95,,,
PLJW 109.36B (Blower Rotated),,949.95,899.95,,,,,,,,
PLJW 109.42,,989.95,989.95,830.95,913.95,,,989.95,,,
PLJW 109.42B (Blower Rotated),,1039.95,989.95,,,,,,,,
PLJW 109.48,,1199.95,1199.95,,1107.95,,1349.95,1349.95,,,
PLJW 109.48B (Blower Rotated),,1249.95,1199.95,,,,,,,,
PLJW 109.48-2,,1349.95,1349.95,1246.95,1246.95,,,,,,
PLJW 109.48-2B (Blower Rotated),,1424.95,1349.95,,,,,,,,
PLJW 109.54,,1449.95,1449.95,1338.95,1338.95,,,1449.95,,,
PLJW 109.54B (Blower Rotated),,1524.95,1449.95,,,,,,,,
PLJW 109.60,,1699.95,1699.95,1596.95,1569.95,,,1699.95,,,
PLJW 109.60B (Blower Rotated),,1774.95,1699.95,,,,,,,,
PLJW 113.30,629.95,649.95,649.95,599.95,,,649.95,649.95,,,
PLJW 113.36,669.95,669.95,669.95,618.95,,,,669.95,,,
PLJW 113.42,699.95,749.95,749.95,692.95,,,,749.95,,,
PLJW 113.48,749.95,799.95,799.95,738.95,,,799.95,799.95,,,
PLJW 117.30,629.95,659.95,659.95,609.95,,,659.95,659.95,,,
PLJW 117.36,669.95,699.95,699.95,646.95,,,,699.95,,,
PLJW 117.42,699.95,749.95,749.95,692.95,,,,749.95,,,
PLJW 117.48,749.95,799.95,799.95,738.95,,,,799.95,,,
PLJW 121.30,629.95,649.95,649.95,599.95,599.95,,,649.95,,,
PLJW 121.36,669.95,669.95,669.95,618.95,618.95,,669.95,669.95,,,
PLJW 121.42,699.95,789.95,789.95,729.95,729.95,,,789.95,,,
PLJW 121.48,749.95,799.95,799.95,738.95,738.95,,799.95,799.95,,,
PLJW 129.30,599.95,599.95,599.95,599.95,599.95,599.95,599.95,599.95,,,
PLJW 129.36,619.95,619.95,619.95,619.95,619.95,619.95,619.95,619.95,,,
PLJW 133.30,629.95,679.95,679.95,627.95,,,,,,,
PLJW 133.36,669.95,739.95,739.95,682.95,,,739.95,,,,
ProSI.30,,849.95,849.95,,,,849.95,,,,
ProSI.36,,1149.95,1149.95,,,,1149.95,,,,
ProSI.42,,1449.95,1449.95,,,,1449.95,,,,
ProSI.48,,1649.95,1649.95,,,,1649.95,,,,
ProSI.54,,1749.95,1749.95,,,,1749.95,,,,
ProSI.60,,1849.95,1849.95,,,,1849.95,,,,
ProSW.30,,679.95,679.95,,,,679.95,,679.95,,
ProSW.36,,1099.95,1099.95,,,,1099.95,,1015.95,,
ProSW.42,,1249.95,1249.95,,,,1249.95,,1153.95,,
ProSW.48,,1449.95,1449.95,,,,1449.95,,1338.95,,
ProSW.54,,1649.95,1649.95,,,,1649.95,,1522.95,,
ProSW.60,,1749.95,1749.95,,,,1749.95,,1749.95,,
ProV28L.430,,629.95,629.95,,,,,629.95,,,
ProV30W.430,,899.95,899.95,,,,,899.95,,,
ProV30W.430B (Blower Rotated),,984.95,899.95,,,,,,,,
ProV30WC.430,,899.95,899.95,,,,,899.95,,,
ProV34L.430,,698.95,698.95,,,,,698.95,,,
ProV36W.430,,974.95,974.95,,,,,974.95,,,
ProV36W.430B (Blower Rotated),,1059.95,974.95,,,,,,,,
ProV36WC.430,,979.95,979.95,,,,,979.95,,,
ProV40L.430,,899.95,899.95,,,,,899.95,,,
ProV42W.430,,1049.95,1049.95,,,,,1049.65,,,
ProV42W.430B (Blower Rotated),,1134.95,1049.95,,,,,,,,
ProV42WC.430,,1099.95,1099.95,,,,,1099.95,,,
ProV46L.430,,999.95,999.95,,,,999.95,999.95,,,
ProV48W.430,,1149.95,1149.95,,,,1149.95,1149.95,,,
ProV48W.430B (Blower Rotated),,1234.95,1149.95,,,,,,,,
ProV48WC.430,,1299.95,1299.95,,,,1299.95,1299.95,,,
ProV52L.430,,1099.95,1099.95,,,,1099.95,1099.95,,,
ProV54W.430,,1399.95,1399.95,,,,1399.95,1399.95,,,
ProV54W.430B (Blower Rotated),,1484.95,1399.95,,,,,,,,
ProV54WC.430,,1449.95,1449.95,,,,1449.95,1499.95,,,
ProV58L.430,,1199.95,1199.95,,,,1199.95,1199.95,,,
ProV60W.430,,1499.95,1499.95,,,,1499.95,1499.95,,,
ProV60W.430B (Blower Rotated),,1584.95,1499.95,,,,,,,,
ProV60WC.430,,1599.95,1599.95,,,,1599.95,1599.95,,,
ProVI.36,,1449.95,1449.95,,,,,,,,
ProVI.42,,1749.95,1749.95,,,,,,,,
ProVI.48,,1949.95,1949.95,,,,,,,,
ProVI.54,,2199.95,2199.95,,,,,,,,
ProVI.60,,2399.95,2399.95,,,,,,,,
PLJW 129.48,,1099.95,1099.95,1099.95,1099.95,,,,,,
PROVBlowerLocal1200,,598.95,598.95,,,,,598.95,,,
PROVBlowerLocal1700,,898.95,898.95,,,,,,,,
PROVBlowerInline900,,239.95,239.95,,,,,239.95,,,
PROVBlowerinline1100,,298.95,298.95,,,,,298.95,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Please list everything that is on Wayfair on Sears, Houzz and Walmart",,,,,,,,,,